lot,wafer,x,y,hbin,sbin,leakage,voltage,frequency
CLUST-LOT-03,W01,-19,-3,1,10,2.35,1.81,2094.19
CLUST-LOT-03,W01,-19,-2,1,10,2.59,1.82,2096.43
CLUST-LOT-03,W01,-19,-1,1,10,2.88,1.79,2077.5
CLUST-LOT-03,W01,-19,0,1,10,2.46,1.79,2063.22
CLUST-LOT-03,W01,-19,1,1,10,3.36,1.79,2111.67
CLUST-LOT-03,W01,-19,2,1,10,3.06,1.81,2101.67
CLUST-LOT-03,W01,-19,3,1,10,2.53,1.84,2130
CLUST-LOT-03,W01,-18,-6,1,10,2.82,1.84,2103.04
CLUST-LOT-03,W01,-18,-5,1,10,2.7,1.82,2070.79
CLUST-LOT-03,W01,-18,-4,1,10,3.44,1.78,2061.67
CLUST-LOT-03,W01,-18,-3,1,10,3.23,1.8,2065.26
CLUST-LOT-03,W01,-18,-2,1,10,3.1,1.84,2055.79
CLUST-LOT-03,W01,-18,-1,1,10,2.76,1.77,2089.13
CLUST-LOT-03,W01,-18,0,1,10,2.49,1.83,2062.17
CLUST-LOT-03,W01,-18,1,1,10,2.33,1.8,2093.39
CLUST-LOT-03,W01,-18,2,1,10,2.92,1.81,2106.52
CLUST-LOT-03,W01,-18,3,1,10,2.45,1.78,2086.8
CLUST-LOT-03,W01,-18,4,1,10,3,1.81,2085.12
CLUST-LOT-03,W01,-18,5,1,10,2.25,1.79,2095.37
CLUST-LOT-03,W01,-18,6,1,10,3.48,1.8,2050.02
CLUST-LOT-03,W01,-17,-9,1,10,2.18,1.84,2102.17
CLUST-LOT-03,W01,-17,-8,1,10,2.68,1.79,2074.72
CLUST-LOT-03,W01,-17,-7,1,10,2.96,1.81,2140.04
CLUST-LOT-03,W01,-17,-6,1,10,3.23,1.82,2037.38
CLUST-LOT-03,W01,-17,-5,1,10,3.54,1.76,2063.25
CLUST-LOT-03,W01,-17,-4,1,10,2.72,1.75,2065.35
CLUST-LOT-03,W01,-17,-3,1,10,2.71,1.81,2079.81
CLUST-LOT-03,W01,-17,-2,1,10,2.93,1.81,2070.24
CLUST-LOT-03,W01,-17,-1,1,10,2.8,1.85,2054.29
CLUST-LOT-03,W01,-17,0,1,10,2.91,1.82,2086.34
CLUST-LOT-03,W01,-17,1,1,10,2.52,1.8,2059.77
CLUST-LOT-03,W01,-17,2,1,10,2.76,1.82,2121.02
CLUST-LOT-03,W01,-17,3,1,10,2.65,1.78,2130.99
CLUST-LOT-03,W01,-17,4,1,10,2.91,1.77,2112.9
CLUST-LOT-03,W01,-17,5,1,10,2.83,1.82,2066.05
CLUST-LOT-03,W01,-17,6,1,10,2.97,1.75,2059.38
CLUST-LOT-03,W01,-17,7,1,10,2.79,1.88,2068.44
CLUST-LOT-03,W01,-17,8,1,10,2.33,1.76,2099.4
CLUST-LOT-03,W01,-17,9,1,10,2.6,1.8,2131.62
CLUST-LOT-03,W01,-16,-10,1,10,2.96,1.8,2093.42
CLUST-LOT-03,W01,-16,-9,2,23,2.93,1.83,2109.48
CLUST-LOT-03,W01,-16,-8,1,10,2.3,1.8,2084.02
CLUST-LOT-03,W01,-16,-7,1,10,3,1.78,2104.56
CLUST-LOT-03,W01,-16,-6,1,10,2.73,1.83,2083.76
CLUST-LOT-03,W01,-16,-5,1,10,2.83,1.75,2135.41
CLUST-LOT-03,W01,-16,-4,1,10,2.88,1.8,2095.29
CLUST-LOT-03,W01,-16,-3,1,10,2.91,1.86,2061.99
CLUST-LOT-03,W01,-16,-2,1,10,3.37,1.82,2121.76
CLUST-LOT-03,W01,-16,-1,1,10,2.82,1.81,2073.69
CLUST-LOT-03,W01,-16,0,1,10,2.8,1.78,2124.13
CLUST-LOT-03,W01,-16,1,1,10,3.04,1.8,2089.97
CLUST-LOT-03,W01,-16,2,1,10,2.93,1.8,2107.73
CLUST-LOT-03,W01,-16,3,1,10,2.67,1.77,2076.29
CLUST-LOT-03,W01,-16,4,1,10,2.8,1.76,2098.87
CLUST-LOT-03,W01,-16,5,1,10,3.08,1.79,2079.78
CLUST-LOT-03,W01,-16,6,1,10,3.13,1.81,2077.1
CLUST-LOT-03,W01,-16,7,1,10,2.45,1.79,2098.53
CLUST-LOT-03,W01,-16,8,1,10,3.82,1.73,2107.91
CLUST-LOT-03,W01,-16,9,1,10,2.6,1.78,2080.64
CLUST-LOT-03,W01,-16,10,1,10,2.67,1.78,2123.26
CLUST-LOT-03,W01,-15,-12,1,10,3.01,1.79,2091.81
CLUST-LOT-03,W01,-15,-11,1,10,3.27,1.82,2072.24
CLUST-LOT-03,W01,-15,-10,1,11,2.43,1.77,2089.74
CLUST-LOT-03,W01,-15,-9,1,10,3.06,1.8,2063.12
CLUST-LOT-03,W01,-15,-8,1,10,2.94,1.76,2104.16
CLUST-LOT-03,W01,-15,-7,1,10,2.56,1.79,2080.8
CLUST-LOT-03,W01,-15,-6,1,10,2.63,1.83,2088.92
CLUST-LOT-03,W01,-15,-5,1,10,2.56,1.8,2094.16
CLUST-LOT-03,W01,-15,-4,1,10,3.13,1.82,2099.5
CLUST-LOT-03,W01,-15,-3,1,10,3.61,1.78,2123.62
CLUST-LOT-03,W01,-15,-2,1,10,3.38,1.82,2089.74
CLUST-LOT-03,W01,-15,-1,1,10,2.32,1.81,2092.84
